ticker,experiment,model,accuracy,balanced_accuracy,precision,recall,f1,auc,market_total_return,total_return,excess_return,sharpe,max_drawdown,hit_ratio,turnover,n_trades
MSFT,market_only,logistic_regression,0.5123042505592841,0.49551501713364243,0.5382165605095541,0.6983471074380165,0.6079136690647482,0.5086676073372304,0.16133631687184247,-0.25240493597601865,-0.4137412528478611,-0.739557901212121,-0.3589032659164777,0.49327354260089684,0.4618834080717489,103
MSFT,market_only,random_forest,0.4429530201342282,0.43855069542430963,0.4857142857142857,0.49173553719008267,0.4887063655030801,0.45476718403547667,0.16133631687184247,-0.40351349299171624,-0.5648498098635587,-1.304893270440398,-0.42333526209620653,0.4125560538116592,0.7040358744394619,157
MSFT,market_only,gradient_boosting,0.48322147651006714,0.47760532150776047,0.5217391304347826,0.5454545454545454,0.5333333333333333,0.49379157427937914,0.16133631687184247,-0.14074530043213973,-0.3020816173039822,-0.3818203635692261,-0.2697444090978146,0.45739910313901344,0.9103139013452914,203
TSLA,market_only,logistic_regression,0.5279642058165548,0.5272770968517183,0.5355648535564853,0.5614035087719298,0.5481798715203426,0.5248137466955058,1.5869861277579118,0.4660495186340843,-1.1209366091238275,0.3360776571292737,-0.6746437988852135,0.5224215246636771,0.515695067264574,115
TSLA,market_only,random_forest,0.5279642058165548,0.5298906512857486,0.5469613259668509,0.4342105263157895,0.4841075794621027,0.5148602098854442,1.5869861277579118,1.079194239585735,-0.5077918881721768,0.6439790759738937,-0.43587159252017926,0.5201793721973094,0.6771300448430493,151
TSLA,market_only,gradient_boosting,0.49217002237136465,0.49155851958663777,0.5021097046413502,0.5219298245614035,0.5118279569892473,0.511826083473524,1.5869861277579118,-0.21675965914326545,-1.8037457869011773,-0.21502736870910322,-0.5488272133169426,0.48654708520179374,0.9103139013452914,203
AAPL,market_plus_sentiment,logistic_regression,0.5391498881431768,0.5186498902349784,0.5752508361204013,0.6852589641434262,0.6254545454545455,0.5190462639238963,0.540872305269871,0.1271160486955898,-0.41375625657428117,0.23798371539122437,-0.24323962898814944,0.5291479820627802,0.5919282511210763,132
AAPL,market_plus_sentiment,random_forest,0.4966442953020134,0.49589397511992844,0.5575221238938053,0.50199203187251,0.5283018867924528,0.4945117489226767,0.540872305269871,0.28920705283153536,-0.2516652524383356,0.5032977103221968,-0.2767351157887371,0.47533632286995514,0.7309417040358744,163
AAPL,market_plus_sentiment,gradient_boosting,0.4720357941834452,0.47342263598666556,0.5345622119815668,0.46215139442231074,0.49572649572649574,0.48810878933246604,0.540872305269871,-0.5327398968391421,-1.073612202109013,-1.506327587868325,-0.5131617089957583,0.45067264573991034,0.8834080717488789,197
AMZN,market_plus_sentiment,logistic_regression,0.5078299776286354,0.5045284761828259,0.532,0.5635593220338984,0.5473251028806584,0.5126114547353201,0.3052484240578246,-0.060196531670618336,-0.36544495572844293,-0.11005222402698767,-0.2874218483229991,0.4798206278026906,0.8789237668161435,196
AMZN,market_plus_sentiment,random_forest,0.48322147651006714,0.4759518836854366,0.5088967971530249,0.6059322033898306,0.5531914893617021,0.46395292794601983,0.3052484240578246,-0.49077346420080736,-0.796021888258632,-1.200895830150024,-0.5478609288406385,0.46860986547085204,0.7443946188340808,166
AMZN,market_plus_sentiment,gradient_boosting,0.49440715883668906,0.48855329745361076,0.5185185185185185,0.5932203389830508,0.5533596837944664,0.47451602538356497,0.3052484240578246,-0.3580990037227362,-0.6633474277805608,-0.7855134214359055,-0.45838434715187915,0.47757847533632286,0.8609865470852018,192
GOOGL,market_plus_sentiment,logistic_regression,0.5212527964205816,0.5206012683958046,0.5814977973568282,0.5258964143426295,0.5523012552301255,0.5472802666883487,1.1260010556563427,0.12459927028654061,-1.001401785369802,0.2212994397104114,-0.34533355849885483,0.5089686098654709,0.695067264573991,155
GOOGL,market_plus_sentiment,random_forest,0.5234899328859061,0.5203573461257013,0.5805084745762712,0.545816733067729,0.5626283367556468,0.5376859907309538,1.1260010556563427,0.32554789063870726,-0.8004531650176354,0.5295300069064777,-0.21836342398531206,0.515695067264574,0.672645739910314,150
GOOGL,market_plus_sentiment,gradient_boosting,0.5145413870246085,0.4967375396373689,0.5590277777777778,0.6414342629482072,0.5974025974025974,0.4948979591836734,1.1260010556563427,-0.03504358277620845,-1.1610446384325512,-0.06650774577102331,-0.35955613369396455,0.4977578475336323,0.8609865470852018,192
META,market_plus_sentiment,logistic_regression,0.5315315315315315,0.5241753551612707,0.5379537953795379,0.7056277056277056,0.6104868913857678,0.5464910676178283,0.3032424821072852,1.0374118065731186,0.7341693244658334,1.1625215340416084,-0.28296552375006245,0.5282167042889391,0.45146726862302483,100
META,market_plus_sentiment,random_forest,0.5225225225225225,0.5188098286689836,0.5361216730038023,0.6103896103896104,0.5708502024291497,0.5112899619941873,0.3032424821072852,0.7561158286791256,0.4528733465718404,0.9148688377933307,-0.3102610899026589,0.5056433408577878,0.690744920993228,153
META,market_plus_sentiment,gradient_boosting,0.5247747747747747,0.5207914151576123,0.5375939849624061,0.6190476190476191,0.5754527162977867,0.5092982135235656,0.3032424821072852,0.587967929066628,0.28472544695934277,0.7523825670326371,-0.40734446986164485,0.5079006772009029,0.8623024830699775,191
MSFT,market_plus_sentiment,logistic_regression,0.5123042505592841,0.49551501713364243,0.5382165605095541,0.6983471074380165,0.6079136690647482,0.5086676073372304,0.16133631687184247,-0.25240493597601865,-0.4137412528478611,-0.739557901212121,-0.3589032659164777,0.49327354260089684,0.4618834080717489,103
MSFT,market_plus_sentiment,random_forest,0.4563758389261745,0.4513202983269502,0.4979919678714859,0.512396694214876,0.505091649694501,0.46889739971779876,0.16133631687184247,-0.44616581002247246,-0.6075021268943149,-1.493754163209937,-0.4700620596490357,0.4192825112107623,0.7757847533632287,173
MSFT,market_plus_sentiment,gradient_boosting,0.4809843400447427,0.4751662971175166,0.5196850393700787,0.5454545454545454,0.532258064516129,0.4950010078613183,0.16133631687184247,-0.1459540010325553,-0.30729031790439776,-0.39701411662467023,-0.27417113232283974,0.4551569506726457,0.9103139013452914,203
TSLA,market_plus_sentiment,logistic_regression,0.5279642058165548,0.5272770968517183,0.5355648535564853,0.5614035087719298,0.5481798715203426,0.5248137466955058,1.5869861277579118,0.4660495186340843,-1.1209366091238275,0.3360776571292737,-0.6746437988852135,0.5224215246636771,0.515695067264574,115
TSLA,market_plus_sentiment,random_forest,0.5167785234899329,0.5183850036049027,0.5319148936170213,0.43859649122807015,0.4807692307692308,0.4986581751181607,1.5869861277579118,0.5017699576014008,-1.085216170156511,0.3572956310174356,-0.5284214657832662,0.5134529147982063,0.6860986547085202,153
TSLA,market_plus_sentiment,gradient_boosting,0.49217002237136465,0.49155851958663777,0.5021097046413502,0.5219298245614035,0.5118279569892473,0.5117259472883121,1.5869861277579118,-0.21675965914326545,-1.8037457869011773,-0.21502736870910322,-0.5488272133169426,0.48654708520179374,0.9103139013452914,203
