date,isin,sentiment_mean,sentiment_std,sentiment_count,sentiment_positive_ratio,sentiment_negative_ratio
2026-06-10,FR0000120271,-0.10115,0.14304770183403856,2,0.0,0.5
2026-06-10,FR0000120578,0.4867333333333333,0.42202162661803644,3,0.6666666666666666,0.0
2026-06-10,FR0000120644,0.7964,0.0,1,1.0,0.0
2026-06-10,FR0000121014,-0.7778,0.0,1,0.0,1.0
2026-06-10,FR0000124141,0.8738,0.0,1,1.0,0.0
2026-06-10,FR0010220475,0.4939,0.0,1,1.0,0.0
2026-06-10,NL0000226223,0.4908,0.21055035027280292,5,1.0,0.0
2026-06-10,NL0000235190,0.2897,0.2644579361637688,2,1.0,0.0
2026-06-10,NL00150001Q9,-0.34,0.0,1,0.0,1.0
2026-06-11,FR0000120073,0.8855999999999999,0.11059150057757605,2,1.0,0.0
2026-06-11,FR0000120271,0.46240000000000003,0.4374162548419983,2,1.0,0.0
2026-06-11,FR0000120578,0.38789999999999997,0.441089594073585,3,0.6666666666666666,0.0
2026-06-11,FR0000121014,0.53005,0.4299968178176827,4,0.75,0.0
2026-06-11,FR0000131104,-0.7351,0.0,1,0.0,1.0
2026-06-11,NL0000226223,0.3818,0.0,1,1.0,0.0
2026-06-11,NL0000235190,0.558725,0.3899213029574044,4,0.75,0.0
2026-06-11,NL00150001Q9,0.22349999999999998,0.4970960671741429,2,0.5,0.5
2026-06-12,FR0000052292,0.8169500000000001,0.07346839456528233,2,1.0,0.0
2026-06-12,FR0000120271,0.579,0.1760876107699422,4,1.0,0.0
2026-06-12,FR0000120321,0.9689,0.0,1,1.0,0.0
2026-06-12,FR0000120578,0.8779,0.0,1,1.0,0.0
2026-06-12,FR0000120644,0.7351,0.0,1,1.0,0.0
2026-06-12,FR0000120693,-0.296,0.0,1,0.0,1.0
2026-06-12,FR0000121014,0.8531500000000001,0.12466292552318838,2,1.0,0.0
2026-06-12,FR0000121485,0.8531500000000001,0.12466292552318838,2,1.0,0.0
2026-06-12,FR0000121667,0.9413,0.0,1,1.0,0.0
2026-06-12,FR0000131104,0.37370000000000003,0.45064838843604,5,0.6,0.2
2026-06-12,FR001400AJ45,0.5267,0.0,1,1.0,0.0
2026-06-12,NL0000226223,0.8252,0.058716522376584944,3,1.0,0.0
2026-06-12,NL0000235190,0.0037249999999999974,0.6774051046702655,4,0.5,0.5
2026-06-12,NL00150001Q9,0.30055,0.5369997796399301,4,0.5,0.5
2026-06-14,FR0000120578,0.9325,0.0,1,1.0,0.0
2026-06-14,FR0000131104,0.8885,0.0,1,1.0,0.0
2026-06-14,NL00150001Q9,0.0772,0.0,1,1.0,0.0
2026-06-15,FR0000052292,0.3295,0.46598336880193486,2,0.5,0.0
2026-06-15,FR0000120271,0.5719,0.0,1,1.0,0.0
2026-06-15,FR0000120578,0.61775,0.4236276726088606,2,1.0,0.0
2026-06-15,FR0000120693,0.9382,0.0,1,1.0,0.0
2026-06-15,FR0000121014,0.0953,0.6393460643501296,3,0.6666666666666666,0.3333333333333333
2026-06-15,FR0000121485,0.0,0.0,1,0.0,0.0
2026-06-15,FR0000121972,0.38585,0.5456743030416588,2,0.5,0.0
2026-06-15,FR0000125007,0.0516,0.0,1,1.0,0.0
2026-06-15,FR0000130809,-0.1655,0.0,1,0.0,1.0
2026-06-15,FR0000131104,-0.5694,0.2376245778533862,3,0.0,1.0
2026-06-15,NL00150001Q9,0.5511,0.2110006635060658,2,1.0,0.0
